Date,Open,Close,COVID Case,COVID Death,Volume,Value
2021-03-02,0.495,0.495,1555,6,80.694,36.12
2021-03-03,0.495,0.51,1745,7,80.694,36.12
2021-03-04,0.52,0.555,2063,5,80.694,36.12
2021-03-05,0.55,0.54,2154,6,80.694,36.12
2021-03-08,0.545,0.55,1529,8,80.694,36.12
2021-03-09,0.55,0.59,1280,9,80.694,36.12
2021-03-10,0.595,0.6,1448,5,80.694,36.12
2021-03-11,0.61,0.65,1647,9,80.694,36.12
2021-03-12,0.65,0.63,1575,3,80.694,36.12
2021-03-15,0.635,0.58,1208,3,80.694,36.12
2021-03-16,0.585,0.595,1063,5,80.694,36.12
2021-03-17,0.61,0.625,1219,2,80.694,36.12
2021-03-18,0.625,0.61,1213,3,80.694,36.12
2021-03-19,0.605,0.59,1576,2,80.694,36.12
2021-03-22,0.595,0.615,1116,5,80.694,36.12
2021-03-23,0.62,0.61,1384,1,80.694,36.12
2021-03-24,0.61,0.625,1268,2,80.694,36.12
2021-03-25,0.625,0.62,1360,2,80.694,36.12
2021-03-26,0.63,0.66,1275,1,80.694,36.12
2021-03-29,0.665,0.645,941,5,80.694,36.12
2021-03-30,0.64,0.625,1133,4,80.694,36.12
2021-03-31,0.63,0.62,1482,8,59.06,25.89
2021-04-01,0.62,0.655,1178,6,59.06,25.89
2021-04-02,0.66,0.65,1294,5,59.06,25.89
2021-04-05,0.655,0.71,1070,7,59.06,25.89
2021-04-06,0.715,0.705,1300,5,59.06,25.89
2021-04-07,0.705,0.725,1139,4,59.06,25.89
2021-04-08,0.73,0.74,1285,4,59.06,25.89
2021-04-09,0.74,0.72,1854,5,59.06,25.89
2021-04-12,0.72,0.705,1317,4,59.06,25.89
2021-04-13,0.705,0.71,1767,12,59.06,25.89
2021-04-14,0.71,0.68,1889,8,59.06,25.89
2021-04-15,0.68,0.66,2148,10,59.06,25.89
2021-04-16,0.66,0.675,2551,2,59.06,25.89
2021-04-19,0.675,0.645,2078,8,59.06,25.89
2021-04-20,0.645,0.645,2341,3,59.06,25.89
2021-04-21,0.645,0.645,2340,11,59.06,25.89
2021-04-22,0.65,0.645,2875,7,59.06,25.89
2021-04-23,0.645,0.645,2847,8,59.06,25.89
2021-04-26,0.645,0.63,2776,13,59.06,25.89
2021-04-27,0.625,0.63,2733,13,59.06,25.89
2021-04-28,0.63,0.62,3142,15,59.06,25.89
2021-04-30,0.62,0.62,3788,14,59.06,25.89
2021-05-03,0.62,0.61,2500,18,59.06,25.89
2021-05-04,0.61,0.64,3120,23,59.06,25.89
2021-05-05,0.65,0.64,3744,17,59.06,25.89
2021-05-06,0.64,0.63,3551,19,59.06,25.89
2021-05-07,0.625,0.645,4498,22,59.06,25.89
2021-05-10,0.65,0.645,3807,17,59.06,25.89
2021-05-11,0.645,0.63,3973,22,59.06,25.89
2021-05-12,0.63,0.64,4765,39,59.06,25.89
2021-05-17,0.635,0.645,4446,45,59.06,25.89
2021-05-18,0.645,0.675,4865,47,59.06,25.89
2021-05-19,0.675,0.645,6075,46,59.06,25.89
2021-05-20,0.645,0.64,6806,59,59.06,25.89
2021-05-21,0.635,0.615,6493,50,59.06,25.89
2021-05-24,0.615,0.62,6509,61,59.06,25.89
2021-05-25,0.63,0.63,7289,60,59.06,25.89
2021-05-27,0.63,0.615,7857,59,59.06,25.89
2021-05-28,0.62,0.615,8290,61,59.06,25.89
2021-05-31,0.6,0.615,6824,67,59.06,25.89
2021-06-01,0.615,0.62,7105,71,59.06,25.89
2021-06-02,0.62,0.625,7703,126,59.06,25.89
2021-06-03,0.625,0.625,8209,103,59.06,25.89
2021-06-04,0.63,0.66,7748,86,59.06,25.89
2021-06-08,0.67,0.675,5566,76,59.06,25.89
2021-06-09,0.68,0.69,6239,75,59.06,25.89
2021-06-10,0.685,0.685,5671,73,59.06,25.89
2021-06-11,0.685,0.69,6849,84,59.06,25.89
2021-06-14,0.69,0.69,4949,60,59.06,25.89
2021-06-15,0.69,0.7,5419,101,59.06,25.89
2021-06-16,0.7,0.69,5150,73,59.06,25.89
2021-06-17,0.69,0.675,5738,60,59.06,25.89
2021-06-18,0.67,0.675,6440,74,59.06,25.89
2021-06-21,0.675,0.665,4611,69,59.06,25.89
2021-06-22,0.665,0.68,4743,77,59.06,25.89
2021-06-23,0.68,0.675,5244,83,59.06,25.89
2021-06-24,0.675,0.66,5841,84,59.06,25.89
2021-06-25,0.67,0.71,5812,82,59.06,25.89
